Model,PR_AUC,ROC_AUC,Fraud_Recall,Fraud_F1,False_Positives,Missed_Fraud
Baseline XGBoost,0.5534207809819167,0.9670281518200478,0.83,0.07,10269,77
Final Behavioral XGBoost,0.8292100953667969,0.9990714854849059,0.93,0.49,836,33
